time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents,behavior_active
9.77,0.0,11.77247716115245,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7999999523162842,1.7999999523162842,1.0740229e-05,1.0740229e-05,2.1480459e-05,0.0,4.0511866e-05,0
10.72,0.0,11.543627418184652,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7464659214019775,1.7464659214019775,1.2067335e-08,1.2067335e-08,2.413467e-08,0.0,0.0018058516,0
11.67,0.0,11.414048747683708,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.626874566078186,1.626874566078186,2.7027552e-08,2.7027601e-08,5.4055153e-08,0.0,0.33558434,0
12.62,0.0,11.276447431967021,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5535167455673218,0.5535167455673218,0.0,0.0,0.0,0.0,0.090034,0
13.59,0.0,12.308841992231955,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.128709316253662,1.128709316253662,1.4327235e-12,1.4327235e-12,2.865447e-12,0.0,0.7291699,0
14.58,0.0,13.543000136469963,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.692973256111145,1.692973256111145,5.6942485e-17,5.6942485e-17,1.1388497e-16,0.0,0.09515872,0
15.57,0.0,15.0337448784953,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7999999523162842,1.7999999523162842,2.640014e-16,2.639994e-16,5.280008e-16,0.0,0.0035462063,0
16.53,0.0,14.762543046575125,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5847980976104736,1.5847980976104736,2.8734185e-06,2.8734073e-06,5.746826e-06,0.0,0.029834557,0
17.49,0.0,13.765955196191266,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.4878803491592407,1.4878803491592407,1.1271221e-06,1.1271221e-06,2.2542442e-06,0.0,0.3385713,0
18.44,0.0,12.811022143187664,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7142549753189087,1.7142549753189087,4.8918805e-06,4.8918805e-06,9.783761e-06,0.0,0.04937255,0
19.39,0.0,11.77493617301007,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.14111658930778503,0.14111658930778503,1.8944141e-14,1.8944141e-14,3.7888282e-14,0.0,6.419539e-05,0
20.32,0.0,11.557577972242397,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7597320079803467,1.7597320079803467,1.05969455e-08,1.05969455e-08,2.1193891e-08,0.0,0.007099727,0
21.27,0.0,11.362757837752941,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.4840799570083618,1.4840799570083618,4.3212086e-07,4.3212086e-07,8.642417e-07,0.0,0.5383735,0
22.22,0.0,11.393056215272328,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.3822838068008423,0.3822838068008423,0.0,0.0,0.0,0.0,0.056068756,0
23.17,0.0,12.423463356262703,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0848640203475952,1.0848640203475952,5.1352764e-13,5.1352764e-13,1.0270553e-12,0.0,0.83810216,0
24.11,0.0,13.636595338409203,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7079064846038818,1.7079064846038818,9.451005e-17,9.451005e-17,1.890201e-16,0.0,0.073069975,0
25.07,0.0,15.067945796231378,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7999999523162842,1.7999999523162842,2.6969868e-16,2.6969868e-16,5.3939736e-16,0.0,0.0031683831,0
26.0,0.0,15.045104506389055,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.627679705619812,1.627679705619812,3.011018e-06,3.011018e-06,6.022036e-06,0.0,0.0072659026,0
26.95,0.0,13.860882041415447,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7899144887924194,1.7899144887924194,2.084866e-06,2.084866e-06,4.169732e-06,0.0,0.20907857,0
27.89,0.0,12.74697663063771,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7999999523162842,1.7999999523162842,4.971752e-06,4.971752e-06,9.943504e-06,0.0,0.016953347,0
28.86,0.0,11.673417486297772,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.36856722831726074,0.36856722831726074,8.8882695e-12,8.8882695e-12,1.7776539e-11,0.0,2.7605543e-05,0
29.83,0.0,11.529731240781484,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.2855007648468018,1.2855007648468018,7.524939e-08,7.5249254e-08,1.5049864e-07,0.0,0.0012470185,0
30.77,0.0,11.462443226276395,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6712009906768799,1.6712009906768799,1.4996687e-08,1.4996658e-08,2.9993345e-08,0.0,0.19170885,0
31.72,0.0,11.174577807021919,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6436989307403564,1.6436989307403564,3.1887293e-10,3.1887293e-10,6.3774586e-10,0.0,0.08762082,0
32.66,0.0,12.10584252855999,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.1537517309188843,1.1537517309188843,9.3805484e-14,9.3805484e-14,1.8761097e-13,0.0,0.79246885,0
33.6,0.0,13.10622341357265,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5110137462615967,1.5110137462615967,3.1513398e-17,3.1513398e-17,6.3026795e-17,0.0,0.22549705,0
34.54,0.0,14.561979840148007,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7966382503509521,1.7966382503509521,2.7051993e-16,2.7051993e-16,5.4103986e-16,0.0,0.011449821,0
35.49,0.0,15.155617434099952,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.3567770719528198,1.3567770719528198,1.0145977e-06,1.0145977e-06,2.0291955e-06,0.0,0.0037187906,0
36.43,0.0,14.11533706308721,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6033639907836914,1.6033639907836914,9.01119e-07,9.01119e-07,1.802238e-06,0.0,0.2090562,0
37.38,0.0,13.130133431627433,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7937781810760498,1.7937781810760498,2.6748612e-06,2.6748612e-06,5.3497224e-06,0.0,0.07438673,0
38.32,0.0,12.001848474794988,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7999999523162842,1.7999999523162842,7.404443e-06,7.404443e-06,1.4808886e-05,0.0,0.00021193213,0
39.25,0.0,11.671257105729689,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7148598432540894,1.7148598432540894,2.0460385e-08,2.0460426e-08,4.092081e-08,0.0,0.0020915442,0
40.19,0.0,11.466538836867104,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6194839477539062,1.6194839477539062,5.050249e-08,5.0502592e-08,1.01005085e-07,0.0,0.30052543,0
41.12,0.0,11.209943811015393,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.649170160293579,1.649170160293579,6.132849e-11,6.1328255e-11,1.2265675e-10,0.0,0.06924994,0
42.04,0.0,12.157077157327418,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.2048673629760742,1.2048673629760742,2.6440468e-15,2.6440468e-15,5.2880936e-15,0.0,0.6823353,0
42.98,0.0,13.211351312971265,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.5494027137756348,1.5494027137756348,4.703334e-17,4.703334e-17,9.406668e-17,0.0,0.17747702,0
43.89,0.0,14.609902770789663,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7980808019638062,1.7980808019638062,2.7520482e-16,2.7520693e-16,5.5041175e-16,0.0,0.010228272,0
44.84,0.0,15.391053193298589,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.2206960916519165,1.2206960916519165,4.8169164e-07,4.8169164e-07,9.633833e-07,0.0,0.0011921497,0
45.75,0.0,14.288741604810431,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.7078020572662354,1.7078020572662354,2.750115e-06,2.750115e-06,5.50023e-06,0.0,0.22738251,0
